,Synonyms,Japanese,Type,Episodes,Status,Aired,Premiered,Producers,Licensors,Studios,Source,Genres,Demographic,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,description,name,French,Theme,English,Themes,German,Spanish,Genre,Broadcast,Demographics
1564,,現実主義勇者の王国再建記,TV,13,Finished Airing,"Jan 9, 2022 to Apr 3, 2022",Winter 2022,"Magic Capsule,       KlockWorx,       King Records,       Overlap,       WOWMAX,       MIGHTY MEDIA",Funimation,J.C.Staff,Light novel,"ActionAction,         FantasyFantasy,         RomanceRomance",,24 min. per ep.,PG-13 - Teens 13 or older,"7.441 (scored by 130833130,833 users)      1          indicates a weighted score.",#206522    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.,#975,"251,009","1,393","Together with his talented aides, the ""Realist Hero"" Kazuya Souma continues his quest of reinvigorating the Elfrieden Kingdom through administrative reform. Having successfully conquered Van—the capital city of the Principality of Amidonia—Kazuya now faces the envoy from Gran Chaos Empire, who wishes to impose punishment for breaching the ban on war established by the Mankind Declaration Treaty. Despite the dire situation, Kazuya sees a path to avoid unnecessary conflict whilst gaining new allies. With his plan being seemingly perfect, the only barrier to success is gaining approval from the envoy.

[Written by MAL Rewrite]
","<div itemprop=""name""><h1 class=""title-name h1_bold_none""><strong>Genjitsu Shugi Yuusha no Oukoku Saikenki Part 2</strong></h1><br/><p class=""title-english title-inherit"">How a Realist Hero Rebuilt the Kingdom Part 2</p></div>",,,How a Realist Hero Rebuilt the Kingdom Part 2,"HaremHarem,         IsekaiIsekai,         MilitaryMilitary",,,,,
1565,"Sekai Meisaku Gekijou, 3000 Leagues in Search of Mother, Marco, From the Appenines to the Andes",母をたずねて三千里,TV,52,Finished Airing,"Jan 4, 1976 to Dec 26, 1976",Winter 1976,"None found, add some","None found, add some",Nippon Animation,Book,"AdventureAdventure,         DramaDrama,         Slice of LifeSlice of Life",,26 min. per ep.,G - All Ages,"7.441 (scored by 39633,963 users)      1          indicates a weighted score.",#206622    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.,#6060,"11,555",55,"Based on a short section of the novel Cuore by the Italian Edmondo de Amicis, Marco is a young boy living in Genoa, Italy, together with his father Pietro. But the family is not complete, for Marco`s mother left for Argentina around a year earlier in order to find work. Letters from her arrive regularly until one day they suddenly stop. Worry for his mother and what might have happened to her overcomes the young boy. Marco thus decides to embark upon a journey to Argentina in the hope of being reunited with his mother. At first, Pietro is opposed to Marco`s plan, but moved by his son's enthusiasm, he eventually allows the boy to go. So begins Marco`s long journey of the heart. Marco encounters many people throughout his travels, and finds maturity and self-acceptance as a result of his experiences.

(Source: Nippon Animation)","<div itemprop=""name""><h1 class=""title-name h1_bold_none""><strong>Haha wo Tazunete Sanzenri</strong></h1></div>",,HistoricalHistorical,,,,Marco,,,
1566,,ヘタリア Ｗorld Series,ONA,48,Finished Airing,"Mar 26, 2010 to Mar 11, 2011",,Frontier Works,Funimation,Studio Deen,Web manga,,,5 min. per ep.,PG-13 - Teens 13 or older,"7.441 (scored by 5773657,736 users)      1          indicates a weighted score.",#206722    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.,#1949,"111,242",818,"The pasta-loving North Italy, stalwart Germany, and timid Japan continue their misadventures through history as they reenact various events leading up to and during the Second World War. This includes the turbulent relationship between Hungary and Prussia, the War of Austrian Succession, Lithuania's early days, and the Invasion of Poland. During such tumultuous times, how will these personified nations work their way through the conflicts?

[Written by MAL Rewrite]","<div itemprop=""name""><h1 class=""title-name h1_bold_none""><strong>Hetalia World Series</strong></h1></div>",,,Hetalia World Series,"AnthropomorphicAnthropomorphic,         Gag HumorGag Humor,         HistoricalHistorical,         ParodyParody",,,ComedyComedy,,
1567,,劇場版イナズマイレブンGO 究極の絆 グリフォン,Movie,1,Finished Airing,"Dec 23, 2011",,"Studio Jack,       Dentsu Tec","None found, add some",OLM,Game,"Sci-FiSci-Fi,         SportsSports",,1 hr. 30 min.,G - All Ages,"7.441 (scored by 1062810,628 users)      1          indicates a weighted score.",#206822    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.,#4998,"19,049",25,"The Raimon team has been invited by Fifth Sector strangely to a soccer camp. When they agree, things go out of hand since it was revealed that Fifth Sector wants to eliminate them once and for all on the island called God Eden. Now, the Raimon team needs to train harder to be able to show that they have the strength to fight back and prove Fifth Sector's doings wrong.

(Source: Inazuma Eleven Wiki)","<div itemprop=""name""><h1 class=""title-name h1_bold_none""><strong>Inazuma Eleven Go: Kyuukyoku no Kizuna Gryphon</strong></h1><br/><p class=""title-english title-inherit"">Inazuma Eleven GO: The Ultimate Bond Griffon</p></div>",,,,"Super PowerSuper Power,         Team SportsTeam Sports",,,,,
1568,Rakugo Girls,じょしらく,TV,13,Finished Airing,"Jul 6, 2012 to Sep 28, 2012",Summer 2012,"Starchild Records,       Mainichi Broadcasting System,       Kodansha,       KlockWorx",Maiden Japan,J.C.Staff,Manga,,ShounenShounen,24 min. per ep.,PG-13 - Teens 13 or older,"7.441 (scored by 4890548,905 users)      1          indicates a weighted score.",#206922    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.,#1338,"179,964",766,"Joshiraku follows the conversations of five rakugo storyteller girls relating the odd things that happen to them each day. Their comedic and satirical chatting covers all kinds of topics, from pointless observations of everyday life, to politics, manga, and more. Each girl has something new to add to the discussion, and the discourse never ends in the same place it began.

Each of the rakugo girls has their own unique personality, with the energetic but immature Marii Buratei; the seemingly cute Kigurumi Haroukitei; the inherently lucky and carefree Tetora Bouhatei; the calm and violent Gankyou Kuurubiyuutei; and the pessimistic and unstable Kukuru Anrakutei. These girls—and their mysterious friend in a wrestling mask—give their observations to the audience, either backstage at the rakugo theater or in various famous locations around Tokyo.

[Written by MAL Rewrite]","<div itemprop=""name""><h1 class=""title-name h1_bold_none""><strong>Joshiraku</strong></h1></div>",,,Joshiraku,"Adult CastAdult Cast,         CGDCTCGDCT,         Gag HumorGag Humor,         ParodyParody,         Performing ArtsPerforming Arts",,,ComedyComedy,Unknown,
1569,,K Seven Stories Lost Small World ~檻の向こうに~,Movie,1,Finished Airing,"Oct 6, 2018",,"None found, add some",VIZ Media,GoHands,Light novel,"ActionAction,         SupernaturalSupernatural",,1 hr. 6 min.,PG-13 - Teens 13 or older,"7.441 (scored by 61286,128 users)      1          indicates a weighted score.",#207022    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.,#4795,"21,076",34,"Misaki Yata is a youth whose reckless and immature attitude has led him to be shunned by his classmates. Saruhiko Fushimi is a loner who views the world in a pessimistic way. Despite being polar opposites, the two become the best of friends.

(Source: TubiTV)","<div itemprop=""name""><h1 class=""title-name h1_bold_none""><strong>K: Seven Stories Movie 4 - Lost Small World - Ori no Mukou ni</strong></h1><br/><p class=""title-english title-inherit"">K: SEVEN STORIES ""Lost Small World - Outside the Cage - ""</p></div>",,Super PowerSuper Power,,,,,,,
1570,,かみちゅ!,Special,4,Finished Airing,"Nov 23, 2005 to Mar 29, 2006",,Geneon Universal Entertainment,Geneon Entertainment USA,Brain's Base,Original,"Slice of LifeSlice of Life,         SupernaturalSupernatural",,27 min. per ep.,PG - Children,"7.441 (scored by 65836,583 users)      1          indicates a weighted score.",#207122    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.,#6008,"11,853",3,"Episodes that were only released on the DVD afterwards and didn't air on TV. Episode numbers: 7.5, 9.5, 10.5, 12.5.

For a complete list of episodes and the order they're included in the Kamichu! DVD/BD box set, see the More Info tab.","<div itemprop=""name""><h1 class=""title-name h1_bold_none""><strong>Kamichu! Specials</strong></h1><br/><p class=""title-english title-inherit"">The Goddess is a Middle School Student</p></div>",,,The Goddess is a Middle School Student,"IyashikeiIyashikei,         MythologyMythology,         SchoolSchool",,,,,
1571,Kiratto Pri☆chan 2nd Season,キラッとプリ☆チャン シーズン2,TV,51,Finished Airing,"Apr 7, 2019 to Mar 29, 2020",Spring 2019,"None found, add some","None found, add some",Tatsunoko Production,Game,"ComedyComedy,         Slice of LifeSlice of Life",,24 min. per ep.,PG - Children,"7.441 (scored by 10991,099 users)      1          indicates a weighted score.",#207222    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.,#9767,"3,330",32,"Mirai Momoyama, Emo Moegi, and Rinka Aoba are 2nd year students at Kirarigaoka Middle School in Kirajuku, and together they form an idol group called ""Miracle☆Kiratts""! The popularity of their streaming programs has skyrocketed! One day, a mysterious Pri☆Chan idol named ""Dia"" appears, and everyone is given a Jewel Pact. Along with that, she announces the opening of the ""Jewel Auditions"", an event where idols with a jewel-like shine are chosen to become ""Jewel Idols"". Only those who can pass the audition with a sparkling heart can make their ""Kiratto Jewel"" shine, allowing them to receive their ""Jewel Coord"". And out of all of them, only the best ""Jewel Idol"" can wear the long-admired ""Diamond Coord"". Who's going to be?!

(Source: PriChan Wiki, edited)","<div itemprop=""name""><h1 class=""title-name h1_bold_none""><strong>Kiratto Pri☆chan Season 2</strong></h1></div>",,,,"Idols (Female)Idols (Female),         MusicMusic",,,,,
1572,,レディ ジュエルペット,TV,52,Finished Airing,"Apr 5, 2014 to Mar 28, 2015",Spring 2014,"TV Tokyo,       Sotsu,       MediaNet,       Sanrio,       Miracle Bus","None found, add some","Studio Comet,       Zexcs",Original,"FantasyFantasy,         RomanceRomance",,25 min. per ep.,PG - Children,"7.441 (scored by 39303,930 users)      1          indicates a weighted score.",#207322    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.,#5990,"11,929",106,"Momona is an ordinary junior-high school student hailing from Jewel Land. At her cousin's wedding, she envies the bride, Lady Diana, due to the fact that she is marrying the cousin who she had a slight crush on. However, once she sees Lady Diana and her cousin together, Momona begins to like her, and accepts her as her cousin's bride. Just as Lady Diana is about to properly meet her and introduce herself, Momona is transported to a snowy place in Jewel Land where the ruler, Lady Jewel, is giving a speech to the Petit Ladies, girls who are chosen as Jewel Candidates to be the next Lady Jewel. Momona meets her partner and mentor, Ruby, a white rabbit, who will guide her through the tasks in becoming Lady Jewel. Whoever passes the most tasks wins and becomes the next Lady Jewel, but standing in her way is Lillian, a girl who also aims to win the title of Lady Jewel, so she can choose her brother, Cayenne, to be her King alongside her. Momona soon also begins to fall in love with Cayenne, yet Lillian doesn't want her to get too close to him. Cayenne also seems to harbor feelings for Momona, but who will be chosen in the end as Lady Jewel to decide it all? And will Momona and Lillian ever become true friends and will Cayenne and Momona ever be together?

(Source: Wikipedia)","<div itemprop=""name""><h1 class=""title-name h1_bold_none""><strong>Lady Jewelpet</strong></h1></div>",,,,"AnthropomorphicAnthropomorphic,         Mahou ShoujoMahou Shoujo",,,,Unknown,
1573,,魔法少女リリカルなのは Reflection,Movie,1,Finished Airing,"Jul 22, 2017",,Shochiku,Discotek Media,Seven Arcs Pictures,Original,"ActionAction,         DramaDrama,         Sci-FiSci-Fi",,1 hr. 51 min.,PG-13 - Teens 13 or older,"7.441 (scored by 48354,835 users)      1          indicates a weighted score.",#207422    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.,#5557,"14,318",37,"The dying planet of Eltria is the only home of Kyrie Florian, her older sister Amitie, and her parents, who are scientists researching ways to save it. Unfortunately, the Florians must leave the planet behind to seek medical care for their father, who has contracted a lethal illness.

Even with treatment, the survival rate of Kyrie's father is minuscule. Refusing to give up on her father and Eltria, Kyrie goes against the wishes of her sister and runs away from home to the peaceful planet of Earth in search of a solution. There, Kyrie and her childhood friend, Iris, pursue Earth's magical protectors—Nanoha Takamachi, Fate Testarossa, and Hayate Yagami.

Nanoha and her companions possess the key to fulfilling Kyrie's objective, and the young girl must do whatever it takes to obtain it. However, it proves difficult for Kyrie, as the protectors do not easily yield to her provocation. Furthermore, Amitie soon arrives on Earth to stop her younger sister's reckless actions and bring her back home, further complicating the already delicate situation.

[Written by MAL Rewrite]","<div itemprop=""name""><h1 class=""title-name h1_bold_none""><strong>Mahou Shoujo Lyrical Nanoha: Reflection</strong></h1><br/><p class=""title-english title-inherit"">Magical Girl Lyrical Nanoha Reflection</p></div>",,Mahou ShoujoMahou Shoujo,Magical Girl Lyrical Nanoha Reflection,,,,,,
